Id,nombre,FilialId,
1,MAZATLÁN - LA CRUZ ELOTA,1,
2,MAZATLÁN-ESCUINAPA,1,
3,MAZATLÁN,1,
4,DURANGO,2,
5,ENSENADA,4,
6,ROSARITO,5,
7,TECATE,6,
8,TIJUANA,7,
9,TORREÓN,3,
10,MEXICALI,8,
11,MEXICALI (SAN LUIS RÍO COLORADO),8,
12,CELAYA,9,
13,IRAPUATO,10,
14,LEÓN,11,
15,MANZANILLO,12,
16,MONTERREY,13,
17,QUERÉTARO,14,
18,SALAMANCA,15,
19,SAN LUIS POTOSÍ,16,
20,CD. GUZMÁN,17,
21,CD. GUZMÁN (TAMAZULA),17,
22,HERMOSILLO,18,
23,AGUASCALIENTES,19,
24,CDMX,20,
25,CHIHUAHUA,21,
26,CD. JUAREZ,22,
27,CD. OBREGÓN,23,
28,COLIMA,24,
29,CULIACÁN,25,
30,MATAMOROS,26,
31,MEXICO/CUAUTITLAN,27,
32,ORIZABA,28,
33,PUERTO VALLARTA,29,
34,PUERTO VALLARTA (BUCERIAS),29,
35,PUERTO VALLARTA (LAS PALMAS),29,
36,LAS VARAS,30,
37,LAS VARAS (PUERTO VALLARTA),30,
38,REYNOSA,31,
39,REYNOSA (RIO BRAVO),31,
40,TECOMÁN,32,
41,XALAPA,33,
42,ACAPULCO,34,
43,CANCÚN,35,
44,CUERNAVACA,36,
45,GUADALAJARA,37,
46,MÉRIDA,38,
47,MONCLOVA,39,
48,NUEVO LAREDO,40,
49,PUEBLA,41,
50,SALTILLO,42,
51,TAMPICO,43,
52,TOLUCA,44,
53,TOLUCA/IXTLAHUACA,44,
54,TUXTLA,45,
55,VILLAHERMOSA,46,
56,MORELIA,47,
57,BOCA DEL RIO,48,
58,VERACRUZ,48,
59,TEPIC,49,
60,TEPIC (COMPOSTELA),49,
61,TEPIC (VILLA HIDALGO),49,
62,ESTADOS UNIDOS ,50,
